release_speed,spin_axis,delta_home_win_exp
95.4,187.0,0.0
88.8,200.0,0.0
73.2,329.0,0.0
79.1,226.0,0.0
80.3,117.0,0.0
83.6,135.0,0.0
82.1,89.0,0.0
91.0,184.0,0.0
86.5,190.0,0.0
92.0,212.0,0.0
91.9,204.0,0.013
90.3,150.0,-0.033
77.1,114.0,0.0
69.1,49.0,-0.019
80.8,51.0,0.0
76.9,333.0,-0.038
83.8,244.0,0.0
89.4,139.0,0.0
87.5,91.0,0.0
95.5,229.0,0.0
89.3,148.0,-0.025
91.0,202.0,0.0
78.9,92.0,0.0
80.6,193.0,0.0
94.1,198.0,0.0
85.7,118.0,0.0
97.9,199.0,0.0
89.4,194.0,0.0
86.2,174.0,0.0
93.5,238.0,0.0
96.2,207.0,0.0
82.1,57.0,0.08
82.4,125.0,0.0
74.7,346.0,0.0
97.6,209.0,-0.044
80.6,15.0,0.0
72.7,30.0,0.0
80.0,295.0,0.0
87.8,95.0,0.0
95.9,220.0,0.004
96.6,236.0,0.0
95.5,209.0,0.0
94.8,189.0,0.021
91.7,211.0,0.0
89.8,161.0,0.013
86.8,240.0,0.0
91.0,254.0,0.0
82.9,28.0,0.0
95.2,192.0,0.0
75.7,82.0,-0.004
81.9,159.0,0.0
85.4,145.0,0.0
90.4,248.0,0.0
79.7,272.0,0.0
87.2,175.0,0.0
80.1,272.0,0.0
94.5,129.0,0.0
90.7,206.0,0.0
85.7,103.0,0.0
88.8,196.0,-0.022
91.9,223.0,0.0
84.0,86.0,0.0
93.1,179.0,-0.005
95.6,194.0,0.0
91.2,223.0,0.0
87.5,178.0,0.0
82.7,24.0,0.0
88.1,4.0,-0.037
92.3,215.0,0.0
80.6,17.0,0.0
92.9,203.0,0.0
91.4,206.0,0.0
90.0,218.0,0.0
91.4,201.0,0.024
93.3,196.0,0.0
81.3,56.0,0.0
90.5,119.0,0.001
97.4,194.0,0.004
97.0,201.0,0.0
77.1,22.0,0.0
89.0,157.0,0.0
85.3,249.0,0.0
93.0,147.0,-0.043
83.9,272.0,0.022
69.0,216.0,-0.018
93.6,177.0,0.0
92.8,206.0,0.0
92.0,206.0,0.0
83.7,87.0,-0.036
92.4,100.0,0.0
86.5,161.0,0.0
96.5,243.0,0.0
87.3,204.0,-0.022
93.2,229.0,0.0
86.1,203.0,0.0
90.4,205.0,-0.002
94.3,220.0,-0.089
86.7,160.0,0.0
79.8,168.0,0.0
94.4,242.0,0.0
98.1,124.0,0.0
83.1,169.0,0.0
74.3,324.0,0.0
83.9,95.0,-0.013
91.1,219.0,0.0
95.2,250.0,0.0
93.2,109.0,0.0
83.4,277.0,0.0
78.8,249.0,0.0
91.2,237.0,0.0
92.6,177.0,0.0
90.0,206.0,0.0
86.7,286.0,-0.033
81.0,40.0,-0.009
89.8,158.0,0.0
90.6,211.0,-0.023
87.5,138.0,0.0289999999999999
81.4,250.0,0.0
87.0,162.0,0.0
89.7,123.0,0.0
82.6,223.0,0.0
80.4,141.0,0.0
91.3,206.0,0.0
87.5,295.0,0.0
92.1,211.0,0.0
93.8,206.0,0.0
95.7,221.0,0.0
83.8,255.0,0.0
82.8,62.0,0.0
80.3,50.0,0.003
97.7,209.0,0.0
93.8,195.0,0.0
90.9,245.0,0.0
93.9,213.0,0.0
88.3,162.0,-0.107
84.4,264.0,-0.104
84.4,28.0,0.0
76.6,331.0,0.0
83.5,98.0,0.0
97.1,240.0,0.0
96.9,196.0,0.0
90.5,209.0,0.0
93.0,210.0,0.0
90.3,194.0,0.0
93.0,233.0,-0.083
93.3,168.0,0.0
96.8,189.0,0.0
84.5,264.0,-0.031
88.6,105.0,-0.0279999999999999
85.8,126.0,0.0
81.4,116.0,0.0
93.4,191.0,0.0
95.4,207.0,0.0
97.9,198.0,0.0
88.7,221.0,-0.0279999999999999
86.8,111.0,0.0
91.1,187.0,-0.127
80.3,116.0,0.0
84.8,347.0,0.0
95.4,245.0,0.001
91.0,206.0,-0.016
92.5,219.0,0.01
94.0,229.0,0.0
95.0,194.0,-0.013
88.5,124.0,-0.0069999999999999
89.5,221.0,0.0
80.1,119.0,-0.005
91.2,215.0,0.0
92.9,156.0,0.0
94.1,190.0,0.0
91.2,185.0,0.0
91.8,152.0,0.0
82.0,57.0,0.0
94.7,229.0,0.0
86.0,82.0,0.0
97.5,246.0,0.0
75.2,318.0,0.0
81.5,121.0,0.0
92.2,221.0,0.0
91.8,221.0,0.0
94.6,211.0,0.0
84.9,256.0,-0.038
80.1,143.0,0.0
86.8,131.0,0.0
85.5,270.0,0.0
76.6,213.0,0.0
92.8,235.0,0.026
88.1,71.0,0.0
90.9,267.0,0.0
93.8,153.0,0.0
94.7,248.0,0.0
91.1,198.0,0.0
85.1,256.0,-0.019
94.0,244.0,0.0
82.2,231.0,-0.031
89.4,146.0,0.0
81.2,126.0,0.0
92.1,185.0,0.0
94.2,106.0,0.0
84.4,239.0,0.0
91.7,139.0,0.0
86.5,192.0,0.0
91.9,209.0,-0.022
94.5,206.0,0.0
93.0,222.0,0.0069999999999999
77.2,247.0,0.0
